dt,pool,aqua,wellness
2022-10-20 06:53:16,40,0,0
2022-10-20 07:11:02,42,0,0
2022-10-20 07:23:21,36,0,0
2022-10-20 07:27:57,35,0,0
2022-10-20 07:34:15,36,0,0
2022-10-20 07:50:53,37,0,0
2022-10-20 07:57:47,30,0,0
2022-10-20 08:04:02,26,0,0
2022-10-20 08:17:54,23,0,0
2022-10-20 08:52:50,16,0,0
2022-10-20 09:04:24,12,0,0
2022-10-20 09:14:54,14,0,0
2022-10-20 09:20:17,13,0,0
2022-10-20 09:39:36,18,0,0
2022-10-20 09:50:12,22,0,0
2022-10-20 09:55:51,23,0,0
2022-10-20 10:12:05,21,4,0
2022-10-20 10:44:46,20,9,0
2022-10-20 10:56:18,23,8,0
2022-10-20 11:02:34,21,8,0
2022-10-20 11:16:28,17,12,0
2022-10-20 11:39:18,15,8,0
2022-10-20 11:51:41,19,7,0
2022-10-20 11:57:49,21,7,0
2022-10-20 12:11:08,19,7,7
2022-10-20 12:40:49,31,5,14
2022-10-20 12:51:35,37,6,15
2022-10-20 12:58:38,40,6,16
2022-10-20 13:09:58,36,10,19
2022-10-20 13:31:58,41,18,17
2022-10-20 13:43:21,46,17,14
2022-10-20 13:52:11,43,22,12
2022-10-20 14:15:48,47,20,11
2022-10-20 15:09:41,56,7,12
