dt,pool,aqua,wellness
2025-07-22 06:36:20,26,0,0
2025-07-22 06:49:38,31,0,0
2025-07-22 06:56:29,33,0,0
2025-07-22 07:02:31,30,0,0
2025-07-22 07:22:26,31,0,0
2025-07-22 07:39:24,39,0,0
2025-07-22 07:47:39,39,0,0
2025-07-22 07:54:07,34,0,0
2025-07-22 08:26:56,21,0,0
2025-07-22 08:47:29,18,0,0
2025-07-22 08:53:33,20,0,0
2025-07-22 08:59:32,23,0,0
2025-07-22 09:20:30,27,0,0
2025-07-22 09:33:09,30,0,0
2025-07-22 09:42:19,30,0,0
2025-07-22 09:51:21,28,0,0
2025-07-22 10:25:29,37,29,0
2025-07-22 10:43:29,38,37,0
2025-07-22 10:50:59,36,42,0
2025-07-22 10:58:54,36,51,0
2025-07-22 11:22:29,43,64,0
2025-07-22 11:37:04,45,67,0
2025-07-22 11:45:40,54,59,0
2025-07-22 11:53:55,60,62,0
2025-07-22 12:19:19,61,64,0
2025-07-22 12:39:05,47,61,0
2025-07-22 12:47:47,50,54,0
