dt,pool,aqua,wellness
2024-04-17 06:09:02,37,0,0
2024-04-17 06:26:38,45,0,0
2024-04-17 06:35:27,47,0,0
2024-04-17 06:52:43,56,0,0
2024-04-17 07:05:22,69,0,0
2024-04-17 07:25:11,56,0,0
2024-04-17 07:35:31,56,0,0
2024-04-17 07:52:34,58,0,0
2024-04-17 08:09:49,38,0,0
2024-04-17 08:29:23,32,0,0
2024-04-17 08:37:32,31,0,0
2024-04-17 08:52:52,34,0,0
2024-04-17 09:04:48,34,0,0
2024-04-17 09:21:47,39,0,0
2024-04-17 09:37:30,47,0,0
2024-04-17 09:52:39,47,0,0
2024-04-17 10:08:22,48,12,8
2024-04-17 10:25:59,60,22,13
2024-04-17 10:35:24,64,22,14
2024-04-17 10:52:33,63,26,14
2024-04-17 11:05:21,72,21,13
2024-04-17 11:22:48,52,21,17
2024-04-17 11:36:26,47,16,16
2024-04-17 11:52:30,49,15,13
2024-04-17 12:06:22,49,15,13
2024-04-17 12:27:32,46,6,15
2024-04-17 12:35:20,47,4,16
2024-04-17 12:52:35,31,9,20
2024-04-17 13:04:13,35,11,17
2024-04-17 13:20:36,41,14,15
2024-04-17 13:35:25,47,12,17
2024-04-17 13:52:52,48,15,17
2024-04-17 14:11:03,71,5,11
2024-04-17 14:38:30,71,9,10
2024-04-17 14:47:55,77,14,8
2024-04-17 14:57:03,71,18,6
2024-04-17 15:05:45,73,20,7
2024-04-17 15:23:57,79,23,13
2024-04-17 15:35:09,83,25,16
2024-04-17 15:52:30,97,24,17
2024-04-17 16:04:11,105,27,18
2024-04-17 16:25:21,96,26,21
2024-04-17 16:35:05,105,26,26
2024-04-17 16:52:46,100,25,28
2024-04-17 17:06:21,106,18,25
2024-04-17 17:25:02,95,22,26
2024-04-17 17:35:09,94,22,27
2024-04-17 17:52:44,110,19,25
2024-04-17 18:07:42,106,26,27
2024-04-17 18:30:06,97,30,30
2024-04-17 18:39:00,84,32,35
2024-04-17 18:52:36,95,18,38
2024-04-17 19:03:11,110,12,38
2024-04-17 19:21:55,95,13,37
2024-04-17 19:35:31,85,9,36
2024-04-17 19:52:28,71,12,31
2024-04-17 20:07:59,72,8,27
2024-04-17 20:26:57,39,6,18
