dt,pool,aqua,wellness
2025-01-31 05:17:05,0,0,0
2025-01-31 05:29:49,0,0,0
2025-01-31 05:37:58,0,0,0
2025-01-31 05:48:14,0,0,0
2025-01-31 06:13:53,31,0,0
2025-01-31 06:28:31,42,0,0
2025-01-31 06:36:17,51,0,0
2025-01-31 06:48:10,55,0,0
2025-01-31 07:20:38,51,0,0
2025-01-31 07:34:25,38,0,0
2025-01-31 07:42:04,43,0,0
2025-01-31 07:49:10,41,0,0
2025-01-31 08:13:00,42,0,0
2025-01-31 08:23:28,42,0,0
2025-01-31 08:34:08,43,0,0
2025-01-31 08:48:26,44,0,0
2025-01-31 09:17:51,56,0,0
2025-01-31 09:30:22,65,0,0
2025-01-31 09:38:21,75,0,0
2025-01-31 09:48:10,84,0,0
2025-01-31 10:14:37,112,70,0
2025-01-31 10:26:22,112,97,0
2025-01-31 10:34:57,100,126,0
2025-01-31 10:48:11,81,156,0
2025-01-31 11:14:24,94,143,0
2025-01-31 11:30:31,128,131,0
2025-01-31 11:38:00,111,139,0
2025-01-31 11:48:21,128,130,0
2025-01-31 12:11:37,133,86,12
2025-01-31 12:21:43,108,85,16
2025-01-31 12:34:31,93,84,18
2025-01-31 12:48:21,101,86,19
2025-01-31 13:27:20,88,88,25
2025-01-31 13:47:50,70,76,30
2025-01-31 13:54:56,56,90,30
2025-01-31 14:01:29,59,94,31
2025-01-31 14:18:53,66,97,31
2025-01-31 14:28:25,82,93,31
2025-01-31 14:35:49,77,95,34
2025-01-31 14:48:20,72,111,32
2025-01-31 15:12:51,84,108,29
2025-01-31 15:26:55,97,94,28
2025-01-31 15:36:32,80,104,31
2025-01-31 15:48:36,93,84,29
2025-01-31 16:13:34,93,72,23
2025-01-31 16:24:45,102,69,23
2025-01-31 16:35:04,100,76,21
2025-01-31 16:48:21,92,78,28
2025-01-31 17:17:15,103,56,22
2025-01-31 17:31:24,114,56,24
2025-01-31 17:41:10,103,59,24
2025-01-31 17:49:01,124,41,22
