dt,pool,aqua,wellness
2025-03-22 05:17:56,0,0,0
2025-03-22 05:32:23,0,0,0
2025-03-22 05:41:33,0,0,0
2025-03-22 05:50:31,0,0,0
2025-03-22 06:14:10,0,0,0
2025-03-22 06:28:50,0,0,0
2025-03-22 06:37:45,0,0,0
2025-03-22 06:48:16,0,0,0
2025-03-22 07:19:40,0,0,0
2025-03-22 07:34:16,0,0,0
2025-03-22 07:41:49,0,0,0
2025-03-22 07:49:18,0,0,0
2025-03-22 08:13:44,1,0,0
2025-03-22 08:25:16,1,0,0
2025-03-22 08:34:44,2,0,0
2025-03-22 08:48:18,1,0,0
2025-03-22 09:17:58,29,6,7
2025-03-22 09:30:37,36,19,12
2025-03-22 09:39:14,48,23,13
2025-03-22 09:48:29,49,27,16
2025-03-22 10:14:59,56,42,19
2025-03-22 10:26:54,75,46,21
2025-03-22 10:35:42,64,63,20
