dt,pool,aqua,wellness
2025-03-06 05:17:57,0,0,0
2025-03-06 05:32:37,0,0,0
2025-03-06 05:41:31,0,0,0
2025-03-06 05:50:24,11,0,0
2025-03-06 06:15:09,46,0,0
2025-03-06 06:30:05,52,0,0
2025-03-06 06:38:40,53,0,0
2025-03-06 06:48:12,60,0,0
2025-03-06 07:21:04,50,0,0
2025-03-06 07:36:00,41,0,0
2025-03-06 07:44:08,55,0,0
2025-03-06 07:51:24,43,0,0
2025-03-06 08:15:51,34,0,0
2025-03-06 08:27:37,27,0,0
2025-03-06 08:36:22,28,0,0
2025-03-06 08:48:21,28,0,0
2025-03-06 09:19:25,33,0,0
2025-03-06 09:33:29,35,0,0
2025-03-06 09:42:03,43,0,0
2025-03-06 09:51:25,44,0,0
2025-03-06 10:16:17,54,20,0
2025-03-06 10:28:42,53,33,0
2025-03-06 10:37:22,47,52,0
2025-03-06 10:48:10,57,60,0
2025-03-06 11:15:54,53,87,0
2025-03-06 11:33:42,63,90,0
2025-03-06 11:41:48,55,94,0
2025-03-06 11:49:16,52,98,0
2025-03-06 12:12:25,62,77,9
2025-03-06 12:23:17,77,71,13
2025-03-06 12:35:19,81,63,16
2025-03-06 12:48:08,84,57,22
2025-03-06 13:30:08,85,73,21
2025-03-06 13:51:43,102,67,22
2025-03-06 13:59:07,93,74,20
2025-03-06 14:05:05,94,74,19
2025-03-06 14:22:44,99,59,23
2025-03-06 14:32:52,78,64,24
2025-03-06 14:39:47,75,62,22
2025-03-06 14:48:14,72,61,23
2025-03-06 15:14:09,87,54,25
2025-03-06 15:31:05,97,48,26
2025-03-06 15:39:46,105,48,26
2025-03-06 15:48:07,114,47,26
2025-03-06 16:16:11,118,40,26
2025-03-06 16:29:21,122,39,29
2025-03-06 16:38:16,117,45,27
2025-03-06 16:48:24,116,39,29
2025-03-06 17:18:48,133,38,31
2025-03-06 17:34:28,125,33,29
2025-03-06 17:43:35,134,31,22
2025-03-06 17:52:22,136,22,22
2025-03-06 18:13:41,131,18,20
2025-03-06 18:28:29,103,22,24
2025-03-06 18:37:07,101,20,25
2025-03-06 18:48:19,120,20,24
2025-03-06 19:20:19,96,40,34
2025-03-06 19:35:38,83,33,41
2025-03-06 19:43:18,81,31,43
2025-03-06 19:50:57,92,14,42
